car_id,problem_category
144522,LANE DEPARTURE
126465,LANE DEPARTURE
166257,LANE DEPARTURE
281252,LANE DEPARTURE
132969,LANE DEPARTURE
255143,LANE DEPARTURE
147891,LANE DEPARTURE
253662,LANE DEPARTURE
178085,LANE DEPARTURE
85143,LANE DEPARTURE
82848,FUEL/PROLUSION SYSTEM
152924,ENGINE 
269344,LANE DEPARTURE
231345,LANE DEPARTURE
285158,LANE DEPARTURE
261543,"EXTERIOR LIGHTING, FUEL SYSTEM"
91532,LANE DEPARTURE
29349,LANE DEPARTURE
26506,LANE DEPARTURE
57083,FUEL/PROPUISION SYSTEM
279654,LANE DEPARTURE
230835,LANE DEPARTURE
234256,LANE DEPARTURE
177948,LANE DEPARTURE
228165,LANE DEPARTURE
60299,FUEL/PROPLUSION SYSTEM
33508,"ENGINE, ELECTRICAL SYSTEM, SERVICE BRAKES"
57956,LANE DEPARTURE
290780,LANE DEPARTURE
118966,FUEL/PROPUISION SYSTEM
144401,FUEL/PROPOLSION SYSTEM
35566,LANE DEPARTURE
58792,LANE DEPARTURE
5086,FUEL/PROPUISION SYSTEM
126665,LANE DEPARTURE
292988,FUEL/PROBULSION SYSTEM
0,LANE DEPARTURE
173000,LANE DEPARTURE
239868,LANE DEPARTURE
278450,"AIR BAGS, ENGINE"
236930,LANE DEPARTURE
166591,"EXTERIOR LIGHTING, ENGINE AND ENGINE COOLING"
42335,LANE DEPARTURE
173183,LANE DEPARTURE
166732,LANE DEPARTURE
14492,LANE DEPARTURE
161709,LANE DEPARTURE
34329,FUEL/PROBULSION SYSTEM
186011,LANE DEPARTURE
28179,LANE DEPARTURE
75519,LANE DEPARTURE
204957,FUEL/PROPUISION SYSTEM
240112,LANE DEPARTURE
17824,FUEL/PROULSION SYSTEM
141082,FUEL/PROPOLSION SYSTEM
287474,LANE DEPARTURE
79342,LANE DEPARTURE
191393,LANE DEPARTURE
296261,LANE DEPARTURE
67110,LANE DEPARTURE
299663,LANE DEPARTURE
59489,LANE DEPARTURE
223465,LANE DEPARTURE
71101,LANE DEPARTURE
62967,LANE DEPARTURE
151309,LANE DEPARTURE
177979,LANE DEPARTURE
179893,"SERVICE BRAKES, LANE DEPARTURE"
161116,LANE DEPARTURE
57898,LANE DEPARTURE
164405,LANE DEPARTURE
263612,LANE DEPARTURE
234338,LANE DEPARTURE
151362,ELECTRONIC STABILITY CONTROL
136141,LANE DEPARTURE
219402,LANE DEPARTURE
112010,"ENGINE, SERVICE BRAKES, ELECTRICAL SYSTEM"
294120,LANE DEPARTURE
14001,LANE DEPARTURE
15690,LANE DEPARTURE
179940,LANE DEPARTURE
278614,LANE DEPARTURE
7868,LANE DEPARTURE
226001,FUEL/PROPUISION SYSTEM
138644,LANE DEPARTURE
239347,"1) FUEL/PROPULSION SYSTEM
2) EQUIPMENT"
57340,LANE DEPARTURE
295085,FUEL/PROULSION SYSTEM
589,LANE DEPARTURE
262325,"EXTERIOR LIGHTING, LANE DEPARTURE"
149335,LANE DEPARTURE
236499,LANE DEPARTURE
267700,FUEL/PROPLUSION SYSTEM
72555,LANE DEPARTURE
80216,LANE DEPARTURE
74854,"FUEL SYSTEM, ENGINE AND ENGINE COOLING"
95622,LANE DEPARTURE
161609,LANE DEPARTURE
168621,LANE DEPARTURE
189841,FUEL/PROPUISION SYSTEM
87281,LANE DEPARTURE
57048,LANE DEPARTURE
87713,LANE DEPARTURE
163186,ELECTRONIC STABILITY CONTROL
187586,LANE DEPARTURE
89291,FUEL/PROPUISION SYSTEM
40454,LANE DEPARTURE
267091,FUEL/PROPOLSION SYSTEM
99008,UNKNOWN
12226,LANE DEPARTURE
182226,LANE DEPARTURE
105805,LANE DEPARTURE
102208,FUEL/PROPUISION SYSTEM
189355,LANE DEPARTURE
223381,LANE DEPARTURE
37144,LANE DEPARTURE
207595,LANE DEPARTURE
131926,LANE DEPARTURE
119257,LANE DEPARTURE
94771,FUEL/PROPUSTION SYSTEM
71643,LANE DEPARTURE
27452,LANE DEPARTURE
224377,LANE DEPARTURE
229656,LANE DEPARTURE
70462,LANE DEPARTURE
5880,LANE DEPARTURE
132437,LANE DEPARTURE
8730,LANE DEPARTURE
32184,LANE DEPARTURE
286180,LANE DEPARTURE
281313,LANE DEPARTURE
252040,LANE DEPARTURE
165978,LANE DEPARTURE
201035,LANE DEPARTURE
35449,FUEL/PROBULSION SYSTEM
63048,LANE DEPARTURE
281234,FUEL/PROULSION SYSTEM
269198,LANE DEPARTURE
177645,LANE DEPARTURE
146471,"SERVICE BRAKES, POWER TRAIN"
188411,BATTERY
157453,LANE DEPARTURE
63675,LANE DEPARTURE
231885,"ENGINE, SERVICE BRAKES, AIR BAGS"
51585,FUEL/PROPUISION SYSTEM
256258,FUEL/PROPU LSION SYSTEM
128584,LANE DEPARTURE
290229,"STRUCTURE, SUSPENSION"
168099,LANE DEPARTURE
140395,FUEL/PROPUISION SYSTEM
234829,LANE DEPARTURE
294044,LANE DEPARTURE
47023,LANE DEPARTURE
63514,LANE DEPARTURE
62640,LANE DEPARTURE
83050,LANE DEPARTURE
60104,LANE DEPARTURE
45169,FUEL/PROPUISION SYSTEM
292048,LANE DEPARTURE
70225,LANE DEPARTURE
257240,"ENGINE, STEERING"
186612,LANE DEPARTURE
128676,"ENGINE, EXTERIOR LIGHTING"
299078,LANE DEPARTURE
205745,LANE DEPARTURE
33038,LANE DEPARTURE
65905,LANE DEPARTURE
24955,FUEL/PROULSION SYSTEM
274852,FUEL/PROULSION SYSTEM
117160,LANE DEPARTURE
171125,LANE DEPARTURE
215139,LANE DEPARTURE
56019,EXTERNAL LIGHTING
52254,LANE DEPARTURE
172611,FUEL/PROULSION SYSTEM
163655,LANE DEPARTURE
46160,LANE DEPARTURE
203264,FUEL/PROPUISION SYSTEM
17820,LANE DEPARTURE
293579,FUEL/PROPUISION SYSTEM
196246,LANE DEPARTURE
72965,FUEL/PROPLUSION SYSTEM
268402,LANE DEPARTURE
52288,FUEL/PROPUSTION SYSTEM
199180,LANE DEPARTURE
263609,LANE DEPARTURE
102418,LANE DEPARTURE
165138,LANE DEPARTURE
24011,LANE DEPARTURE
242427,LANE DEPARTURE
20572,LANE DEPARTURE
216198,LANE DEPARTURE
13606,LANE DEPARTURE
279669,FUEL/PROULSION SYSTEM
96857,LANE DEPARTURE
22138,LANE DEPARTURE
229009,LANE DEPARTURE
73756,LANE DEPARTURE
37794,LANE DEPARTURE
271704,LANE DEPARTURE
39142,FUEL/PROPUISION SYSTEM
180766,LANE DEPARTURE
208337,LANE DEPARTURE
224753,LANE DEPARTURE
284578,FUEL/PROPUISION SYSTEM
65458,LANE DEPARTURE
23590,FUEL/PROBULSION SYSTEM
297934,LANE DEPARTURE
27622,FUEL/PROULSION SYSTEM
21207,LANE DEPARTURE
74493,LANE DEPARTURE
53250,LANE DEPARTURE
55152,LANE DEPARTURE
260105,LANE DEPARTURE
284283,LANE DEPARTURE
45393,LANE DEPARTURE
186278,LANE DEPARTURE
135941,LANE DEPARTURE
106894,LANE DEPARTURE
99565,FUEL/PROPUISION SYSTEM
47674,"ENGINE, AIR BAGS, SEATS"
246337,LANE DEPARTURE
165937,LANE DEPARTURE
199205,LANE DEPARTURE
149242,FUEL/PROPUISION SYSTEM
265728,FORWARD COLLISION AVOIDATION
257270,LANE DEPARTURE
49604,LANE DEPARTURE
275962,LANE DEPARTURE
290252,LANE DEPARTURE
246091,"SERVICE BRAKES, VISIBILITY/WIPER"
219937,LANE DEPARTURE
94760,LANE DEPARTURE
298646,LANE DEPARTURE
256059,LANE DEPARTURE
99255,LANE DEPARTURE
154198,LANE DEPARTURE
97278,LANE DEPARTURE
2991,LANE DEPARTURE
28799,LANE DEPARTURE
233927,ELECTRONIC STABILITY CONTROL
157199,"ENGINE AND ENGINE COOLING, VISIBILITY/WIPER"
158797,LANE DEPARTURE
238637,LANE DEPARTURE
67053,LANE DEPARTURE
236979,LANE DEPARTURE
155875,"SERVICE BRAKES, SEATS, STEERING"
72127,LANE DEPARTURE
209014,LANE DEPARTURE
137447,LANE DEPARTURE
288738,LANE DEPARTURE
146060,LANE DEPARTURE
209991,LANE DEPARTURE
103820,FUEL/PROPUISION SYSTEM
286708,LANE DEPARTURE
199951,LANE DEPARTURE
171528,FUEL/PROULSION SYSTEM
