car_id,year,complaint_id,image_id,audio_id,is_sick_audio,is_sick_text,is_sick_image
121327,2000,80509,9572,,,0,1
225426,2000,106224,23460,,,0,1
24781,2000,155555,20073,,,0,1
190067,2000,151554,26137,,,0,1
190451,2000,8360,28066,,,0,1
190510,2000,155620,16706,,,0,1
292850,2000,70518,24689,,,0,1
298234,2000,78939,22616,,,0,1
145896,2000,133704,28928,,,0,1
72471,2000,70600,18458,,,0,1
98675,2000,143137,24093,,,0,1
120101,2000,79601,21690,,,0,1
37666,2000,70535,18377,,,0,1
86622,2000,106154,20969,,,0,1
212615,2000,151418,19186,,,0,1
278598,2001,105894,16678,839,1,0,1
178553,2001,120146,24527,,,0,1
226259,2001,106110,17871,,,0,1
55807,2001,70542,26706,,,0,1
246809,2001,151193,27402,,,0,1
43589,2001,133561,28202,,,0,1
5564,2001,78689,16463,,,0,1
188138,2001,77899,27488,,,0,1
31052,2001,63144,18839,,,0,1
89015,2001,109107,29023,,,0,1
247198,2002,133456,19294,,,0,1
194053,2002,108984,25549,,,0,1
238848,2002,79429,,1033,1,0,
201844,2002,66764,24395,,,0,1
253278,2002,149494,24975,,,0,1
32792,2002,149734,30121,,,0,1
109211,2002,57091,21586,,,0,1
108081,2002,57694,28537,,,0,1
25751,2002,63516,26294,,,0,1
219254,2002,151259,29091,,,0,1
98336,2002,151676,28590,,,0,1
192078,2002,70357,,517,1,0,
209458,2002,120191,24152,,,0,1
179730,2003,57417,24210,,,0,1
188072,2003,151485,21494,,,0,1
41312,2003,143198,19815,,,0,1
115607,2003,62936,23464,,,0,1
260279,2003,62809,27126,,,0,1
200933,2003,73630,21434,,,0,1
244463,2003,35329,16815,,,0,1
121389,2003,108570,16590,,,0,1
123909,2003,106041,28947,,,0,1
236022,2003,151538,26535,,,0,1
231733,2003,63104,28455,,,0,1
56073,2003,133577,18087,,,0,1
179099,2003,77939,21118,,,0,1
249834,2003,,347,865,1,,0
62897,2004,107487,16453,,,0,1
33758,2004,149341,26358,,,0,1
271003,2004,35211,277,1329,1,0,0
123051,2004,312,21706,,,0,1
53918,2004,63402,21572,,,0,1
67108,2004,57272,28932,,,0,1
299714,2004,57586,28243,,,0,1
35545,2004,7744,320,1108,1,0,0
36405,2004,70703,22695,,,0,1
19896,2004,57049,17725,,,0,1
159824,2004,133513,23983,,,0,1
52046,2004,149491,21294,,,0,1
17089,2004,139869,17760,,,0,1
41436,2004,108770,26912,,,0,1
260487,2005,35432,19494,,,0,1
268079,2005,105980,17210,,,0,1
16558,2005,155649,27261,,,0,1
197470,2005,66757,23501,,,0,1
73662,2005,79151,20913,,,0,1
150717,2005,66842,27376,,,0,1
53134,2005,78880,22205,,,0,1
236807,2005,66615,25804,,,0,1
219862,2005,63414,25204,,,0,1
117161,2005,106572,28912,,,0,1
143374,2005,120288,26168,,,0,1
111082,2005,107460,,763,1,0,
130880,2005,155518,21315,,,0,1
100069,2005,109090,25822,,,0,1
207292,2005,79980,22745,,,0,1
41795,2005,78108,22079,,,0,1
194245,2005,62941,22499,,,0,1
252289,2006,149558,29729,,,0,1
183053,2006,77781,,590,1,0,
259642,2006,107651,16501,,,0,1
289954,2006,70907,25555,,,0,1
105424,2006,35578,16817,,,0,1
242952,2006,143130,22651,,,0,1
285406,2006,149776,19394,,,0,1
234860,2007,144497,21401,,,0,1
252533,2007,57406,28688,,,0,1
277936,2007,144652,24481,,,0,1
1417,2007,73579,18553,,,0,1
141601,2007,63564,26177,,,0,1
293350,2007,107591,22727,,,0,1
61133,2008,70867,18902,,,0,1
119647,2008,140254,17589,,,0,1
276033,2008,71005,27507,,,0,1
215531,2008,106099,25479,,,0,1
128923,2008,140107,20634,,,0,1
170556,2008,79476,,1145,1,0,
157489,2008,120140,21438,,,0,1
200870,2008,70909,30106,,,0,1
160593,2008,78366,25760,,,0,1
174468,2008,62484,,528,1,0,
57050,2008,8409,27391,,,0,1
148778,2009,120260,29511,,,0,1
168620,2009,70949,29388,,,0,1
266966,2009,142955,,226,1,0,
280449,2009,106182,20016,,,0,1
139712,2009,144662,18909,,,0,1
103432,2009,144544,26417,,,0,1
292939,2009,140388,20967,,,0,1
202224,2009,79754,17558,,,0,1
225475,2009,36517,14912,,,0,1
66676,2009,149829,20508,,,0,1
245235,2009,107570,21431,,,0,1
55278,2009,145000,29425,,,0,1
38597,2010,119780,,1023,1,0,
239425,2010,6894,27961,,,0,1
207429,2010,62734,26940,,,0,1
252777,2010,143511,19612,,,0,1
2960,2010,70625,18137,,,0,1
158938,2010,6339,19972,,,0,1
47738,2010,151063,83,310,1,0,0
263440,2010,78909,17020,,,0,1
171401,2010,149673,17483,,,0,1
38916,2010,7907,17305,,,0,1
145336,2010,120243,21517,,,0,1
229282,2010,140413,22509,,,0,1
180590,2010,78791,19336,,,0,1
159521,2010,120274,28782,,,0,1
108971,2011,151143,23975,,,0,1
289408,2011,57018,,829,1,0,
202937,2011,6513,19367,,,0,1
149132,2011,140205,24163,,,0,1
223231,2011,57040,19697,,,0,1
67844,2011,73732,18419,,,0,1
